artist_name,track_name,release_date,genre,len,topic
mukesh,mohabbat bhi jhoothi,1950,pop,95,sadness
frankie laine,i believe,1950,pop,51,world/life
johnnie ray,cry,1950,pop,24,music
perez prado,patricia,1950,pop,54,romantic
giorgos papadopoulos,apopse eida oneiro,1950,pop,48,romantic
perry como,round and round (with mitchell ayres and his orchestra & the ray charles singers),1950,pop,98,violence
freestyle,opm medley: when i met you,1950,pop,179,world/life
johnny mathis,it's not for me to say,1950,pop,21,world/life
stelios kazantzldis,klapse me mana klapse me,1950,pop,30,romantic
stelios kazantzldis,finito la mouzika,1950,pop,61,sadness
liva weel,"stemmer man om den, vagner..",1951,pop,113,obscene
the chordettes,carolina moon,1951,pop,38,night/time
frankie laine,necessary evil,1951,pop,173,obscene
ghantasala,kanugona galano,1951,pop,73,sadness
les paul,the carioca,1951,pop,60,romantic
les paul,chicken reel,1951,pop,199,world/life
les paul,blue skies,1951,pop,43,music
les paul,dark eyes,1951,pop,182,violence
asha bhosle,kotha mukunda,1952,pop,48,violence
asha bhosle,awaz deta hai sola ka din,1952,pop,148,feelings
piney brown,how about rocking with me,1950,blues,138,obscene
the ravens,midnight blues,1950,blues,51,music
the ravens,gotta find my baby,1950,blues,195,obscene
the ravens,you're gonna lose your gal,1950,blues,58,violence
ella fitzgerald,i've got a crush on you,1950,blues,58,world/life
ella fitzgerald,but not for me,1950,blues,19,sadness
ella fitzgerald,soon,1950,blues,51,music
josh white,call me darling,1951,blues,110,obscene
louis prima,the bigger the figure (with keely smith),1951,blues,32,sadness
louis prima,one mint julep,1951,blues,82,obscene
louis prima,eleanor,1951,blues,51,sadness
louis prima,basta,1951,blues,110,violence
ella fitzgerald,you'll have to swing it (mr. paganini),1953,blues,98,music
ella fitzgerald,it might as well be spring,1953,blues,43,music
ella fitzgerald,thanks for the memory,1953,blues,68,world/life
ella fitzgerald,"lover, come back to me",1953,blues,67,sadness
ella fitzgerald,taking a chance on love,1953,blues,47,sadness
ella fitzgerald,between the devil and the deep blue sea,1953,blues,46,violence
billie holiday,yesterdays,1953,blues,44,world/life
billie holiday,i can't face the music,1953,blues,35,music
jerry reed,another puff,1995,country,173,obscene
roger miller,i've been a long time leavin' (but i'll be a long time gone),1995,country,99,night/time
george strait,what would your memories do,1995,country,31,sadness
rhett akins,katy brought my guitar back today,1995,country,68,music
whiskeytown,excuse me while i break my own heart tonight,1995,country,70,sadness
roger miller,atta boy girl,1995,country,60,sadness
t. graham brown,i wish that i could hurt that way again,1995,country,42,sadness
lee roy parnell,if the house is rockin',1995,country,128,obscene
lonestar,runnin' away with my heart,1995,country,60,sadness
tim mcgraw,you got the wrong man,1995,country,50,sadness
vern gosdin,praying,1995,country,62,music
lonestar,let's be us again,1995,country,53,sadness
son volt,live free,1995,country,44,world/life
wayne hancock,cold lonesome wind,1995,country,58,music
mel tillis,heaven everyday,1995,country,44,world/life
the highwaymen,here comes that rainbow again,1995,country,61,violence
linda ronstadt,high sierra,1995,country,74,night/time
aaron tippin,how's the radio know,1995,country,90,music
john michael montgomery,heaven sent me you,1995,country,55,world/life
the highwaymen,the devil's right hand,1995,country,139,violence
django reinhardt,tears,1970,jazz,50,romantic
b.t. express,peace pipe,1970,jazz,91,obscene
bill evans,why did i choose you?,1970,jazz,184,obscene
shirley bassey,life goes on,1970,jazz,58,sadness
the meters,funky meters soul,1970,jazz,52,obscene
tower of power,the price,1970,jazz,83,obscene
minnie riperton,expecting,1970,jazz,24,world/life
minnie riperton,"whenever, wherever",1970,jazz,25,world/life
frank zappa,toads of the short forest,1970,jazz,18,music
bill evans,what are you doing the rest of your life?,1970,jazz,64,world/life
freddie hubbard,delphia,1970,jazz,14,violence
sun ra,blue soul,1970,jazz,186,world/life
mandrill,warning blues,1970,jazz,57,music
mandrill,rollin' on,1970,jazz,46,violence
david axelrod,the signs part i,1970,jazz,14,world/life
shirley bassey,my way,1970,jazz,51,world/life
ella fitzgerald,sunny,1970,jazz,47,world/life
andy williams,charade,1970,jazz,35,music
"emerson, lake & palmer",lucky man,1970,jazz,39,violence
wishbone ash,handy,1970,jazz,19,sadness
black rob,pd world tour (feat. puff daddy),2017,hip hop,76,obscene
black rob,b.l.a.c.k.,2017,hip hop,144,obscene
leaders of the new school,my ding-a-ling,2017,hip hop,176,obscene
talib kweli,holy moly,2017,hip hop,68,obscene
loon,hey woo,2017,hip hop,83,obscene
the beatnuts,find us (in the back of the club),2017,hip hop,68,obscene
nate dogg,backdoor,2017,hip hop,50,sadness
big daddy kane,smooth operator,2017,hip hop,161,obscene
lupe fiasco,hurt me soul,2017,hip hop,100,obscene
d4l,betcha can't do it like me,2017,hip hop,104,obscene
ice-t,high rollers,2017,hip hop,91,obscene
ice-t,new jack hustler (nino's theme),2017,hip hop,94,obscene
black rob,ready,2017,hip hop,164,obscene
black rob,thug story,2017,hip hop,92,obscene
gorilla zoe,hood clap,2017,hip hop,108,obscene
gorilla zoe,doe boy,2017,hip hop,65,obscene
pudgee tha phat bastard,clap your hands,2017,hip hop,161,obscene
paul wall,bangin screw,2017,hip hop,75,obscene
gorilla zoe,money up,2017,hip hop,90,obscene
yung joc,i know you see it,2017,hip hop,76,obscene
